证券代码,证券简称,跟踪时间
603288.SH,海天味业,长期
002415.SZ,海康威视,
600519.SH,贵州茅台,长期
300529.SZ,健帆生物,
300628.SZ,亿联网络,
000895.SZ,双汇发展,长期
000333.SZ,美的集团,长期
600887.SH,伊利股份,长期
000651.SZ,格力电器,长期
300595.SZ,欧普康视,
603899.SH,晨光股份,长期
000049.SZ,德赛电池,
000848.SZ,承德露露,
603568.SH,伟明环保,
600763.SH,通策医疗,
600612.SH,老凤祥,
300357.SZ,我武生物,
601155.SH,新城控股,
002032.SZ,苏泊尔,
603589.SH,口子窖,
002236.SZ,大华股份,
002271.SZ,东方雨虹,
002508.SZ,老板电器,
000661.SZ,长春高新,长期
300450.SZ,先导智能,
002304.SZ,洋河股份,
600436.SH,片仔癀,长期
603198.SH,迎驾贡酒,
600690.SH,海尔智家,
603369.SH,今世缘,
000538.SZ,云南白药,长期
600036.SH,招商银行,长期
601318.SH,中国平安,长期
002507.SZ,涪陵榨菜,长期
600276.SH,恒瑞医药,长期
000858.SZ,五粮液,长期
300015.SZ,爱尔眼科,长期
300760.SZ,迈瑞医疗,长期
600085.SH,同仁堂,长期
600600.SH,青岛啤酒,长期
600298.SH,安琪酵母,长期
600809.SH,山西汾酒,长期
