股票代码,股票名称,市盈率标准差倍数
600519,贵州茅台,1.0
hk00700,腾讯控股,1.0
hk09633,农夫山泉,1.0
hk00388,港交所,1.0
000858,五粮液,1.0
000568,泸州老窖,1.0
002304,洋河股份,1.0
600600,青岛啤酒,1.0
605499,东鹏饮料,1.0
000848,承德露露,1.0
600436,片仔癀,1.0
000538,云南白药,1.0
600329,达仁堂,1.0
000999,华润三九,1.0
600276,恒瑞医药,1.0
603259,药明康德,1.0
300760,迈瑞医疗,1.5
002262,恩华药业,1.0
603288,海天味业,1.0
600887,伊利股份,1.0
000895,双汇发展,1.0
002032,苏泊尔,1.0
600690,海尔智家,1.0
000333,美的集团,1.0
603195,公牛集团,1.0
600660,福耀玻璃,1.0
002415,海康威视,1.0
603899,晨光股份,1.0
600036,招商银行,1.0
300033,同花顺,1.0
603605,珀莱雅,1.5
300896,爱美客,1.5
000423,东阿阿胶,1.0
